ensaio,replica,release_angle,firing_angle,cup_elevation,pin_elevation,bungee_elevation,distancia
1,3,176,90,211,100,100,86.24
2,3,156,140,290,100,200,129.61
3,3,156,140,211,100,200,70.52
4,3,176,140,290,200,100,204.86
5,2,156,90,211,100,200,69.54
6,3,156,140,290,200,200,162.1
7,3,156,90,290,100,200,146.84
8,2,156,140,211,200,100,41.07
9,1,156,90,211,100,100,51.97
10,1,156,140,211,200,100,38.29
11,3,156,90,211,100,100,54.5
12,1,176,140,290,200,100,203.19
13,1,176,90,211,200,100,94.74
14,1,156,90,290,100,100,120.13
15,1,176,140,290,200,200,332.82
16,1,176,140,211,200,100,72.79
17,1,156,140,290,100,100,103.94
18,1,176,90,290,200,100,228.54
19,2,176,90,290,100,200,296.89
20,3,176,90,290,100,200,287.99
21,2,156,140,211,100,100,33.91
22,3,156,90,211,200,200,100.03
23,1,156,140,290,200,200,173.5
24,3,156,90,290,100,100,124.89
25,3,176,140,211,100,100,63.76
26,1,156,140,211,100,200,62.34
27,2,156,90,290,200,200,199.57
28,1,156,140,211,200,200,68.27
29,2,156,140,290,100,200,126.24
30,2,176,90,290,200,200,345.45
31,1,176,140,290,100,100,157.19
32,3,156,140,211,100,100,27.71
33,3,156,90,290,200,100,170.89
34,1,156,90,290,100,200,150.13
35,2,156,140,290,100,100,90.17
36,2,176,90,211,100,200,183.9
37,2,156,90,211,200,200,82.23
38,1,176,90,211,100,100,79.9
39,2,156,140,290,200,200,186.46
40,2,156,90,211,200,100,68.58
41,1,156,90,290,200,200,204.14
42,3,176,140,211,200,200,199.75
43,1,176,140,211,200,200,195.01
44,1,176,90,211,200,200,200.7
45,3,156,140,290,200,100,148.73
46,1,176,140,211,100,200,178.89
47,3,176,140,211,100,200,182.11
48,1,156,140,290,100,200,116.69
49,1,176,140,211,100,100,63.64
50,1,156,90,211,200,200,104.18
51,1,176,90,211,100,200,200.51
52,2,156,90,290,200,100,157.37
53,1,156,140,211,100,100,24.24
54,3,156,140,211,200,200,78.58
55,1,156,90,290,200,100,180.63
56,2,176,140,290,200,100,199.15
57,2,156,90,290,100,100,123.67
58,3,176,90,290,100,100,175.53
59,2,176,140,211,100,100,61.29
60,3,176,140,290,200,200,306.29
61,2,176,90,290,200,100,236.25
62,2,156,140,211,200,200,69.59
63,2,176,90,211,200,100,104.59
64,3,156,90,211,100,200,88.85
65,2,156,140,290,200,100,144.31
66,3,156,90,211,200,100,61.42
67,2,176,140,290,100,200,270.51
68,3,176,140,290,100,200,269.38
69,3,156,140,290,100,100,102.7
70,2,156,140,211,100,200,59.37
71,2,176,140,211,200,100,84.65
72,2,176,90,211,100,100,90.75
73,3,176,90,211,200,200,207.85
74,2,176,140,211,100,200,175.53
75,2,156,90,211,100,100,47.89
76,3,176,140,211,200,100,82.78
77,2,176,140,211,200,200,199.8
78,2,176,140,290,200,200,308.43
79,3,176,90,211,100,200,200.86
80,2,156,90,290,100,200,136.32
81,1,176,140,290,100,200,269.67
82,1,156,90,211,100,200,76.89
83,2,176,90,290,100,100,176.58
84,1,176,90,290,100,200,290.19
85,1,156,90,211,200,100,67.18
86,1,176,90,290,200,200,326.6
87,3,176,90,290,200,200,340.63
88,3,156,140,211,200,100,21.04
89,3,176,90,290,200,100,235.32
90,3,176,90,211,200,100,113.82
91,1,176,90,290,100,100,193.73
92,2,176,140,290,100,100,158.17
93,3,156,90,290,200,200,210.3
94,1,156,140,290,200,100,134.2
95,3,176,140,290,100,100,156.38
96,2,176,90,211,200,200,208.92
